,gene_ids,feature_types
JPX,ENSG00000225470,Gene Expression
FTX,ENSG00000230590,Gene Expression
AL353804.1,ENSG00000228906,Gene Expression
ZCCHC13,ENSG00000187969,Gene Expression
SLC16A2,ENSG00000147100,Gene Expression
RLIM,ENSG00000131263,Gene Expression
NEXMIF,ENSG00000050030,Gene Expression
ABCB7,ENSG00000131269,Gene Expression
UPRT,ENSG00000094841,Gene Expression
ZDHHC15,ENSG00000102383,Gene Expression
MAGEE2,ENSG00000186675,Gene Expression
AL451105.2,ENSG00000226854,Gene Expression
PBDC1,ENSG00000102390,Gene Expression
MAGEE1,ENSG00000198934,Gene Expression
AC233296.1,ENSG00000280870,Gene Expression
FGF16,ENSG00000196468,Gene Expression
ATRX,ENSG00000085224,Gene Expression
MAGT1,ENSG00000102158,Gene Expression
COX7B,ENSG00000131174,Gene Expression
ATP7A,ENSG00000165240,Gene Expression
PGK1,ENSG00000102144,Gene Expression
PGAM4,ENSG00000226784,Gene Expression
TAF9B,ENSG00000187325,Gene Expression
CYSLTR1,ENSG00000173198,Gene Expression
RTL3,ENSG00000179300,Gene Expression
LPAR4,ENSG00000147145,Gene Expression
P2RY10,ENSG00000078589,Gene Expression
GPR174,ENSG00000147138,Gene Expression
ITM2A,ENSG00000078596,Gene Expression
TBX22,ENSG00000122145,Gene Expression
TENT5D,ENSG00000174016,Gene Expression
BRWD3,ENSG00000165288,Gene Expression
AL391294.1,ENSG00000284618,Gene Expression
HMGN5,ENSG00000198157,Gene Expression
SH3BGRL,ENSG00000131171,Gene Expression
POU3F4,ENSG00000196767,Gene Expression
CYLC1,ENSG00000183035,Gene Expression
RPS6KA6,ENSG00000072133,Gene Expression
HDX,ENSG00000165259,Gene Expression
APOOL,ENSG00000155008,Gene Expression
SATL1,ENSG00000184788,Gene Expression
AC003001.1,ENSG00000235461,Gene Expression
ZNF711,ENSG00000147180,Gene Expression
POF1B,ENSG00000124429,Gene Expression
CHM,ENSG00000188419,Gene Expression
DACH2,ENSG00000126733,Gene Expression
KLHL4,ENSG00000102271,Gene Expression
Z83818.2,ENSG00000282914,Gene Expression
CPXCR1,ENSG00000147183,Gene Expression
AL121872.1,ENSG00000225012,Gene Expression
TGIF2LX,ENSG00000153779,Gene Expression
AL121823.1,ENSG00000206062,Gene Expression
PABPC5-AS1,ENSG00000234161,Gene Expression
PABPC5,ENSG00000174740,Gene Expression
PCDH11X,ENSG00000102290,Gene Expression
NAP1L3,ENSG00000186310,Gene Expression
FAM133A,ENSG00000179083,Gene Expression
DIAPH2,ENSG00000147202,Gene Expression
RPA4,ENSG00000204086,Gene Expression
DIAPH2-AS1,ENSG00000236256,Gene Expression
AL157778.1,ENSG00000281566,Gene Expression
PCDH19,ENSG00000165194,Gene Expression
TNMD,ENSG00000000005,Gene Expression
TSPAN6,ENSG00000000003,Gene Expression
SRPX2,ENSG00000102359,Gene Expression
SYTL4,ENSG00000102362,Gene Expression
CSTF2,ENSG00000101811,Gene Expression
NOX1,ENSG00000007952,Gene Expression
XKRX,ENSG00000182489,Gene Expression
ARL13A,ENSG00000174225,Gene Expression
TRMT2B,ENSG00000188917,Gene Expression
TMEM35A,ENSG00000126950,Gene Expression
CENPI,ENSG00000102384,Gene Expression
DRP2,ENSG00000102385,Gene Expression
TAF7L,ENSG00000102387,Gene Expression
TIMM8A,ENSG00000126953,Gene Expression
BTK,ENSG00000010671,Gene Expression
RPL36A,ENSG00000241343,Gene Expression
RPL36A-HNRNPH2,ENSG00000257529,Gene Expression
GLA,ENSG00000102393,Gene Expression
HNRNPH2,ENSG00000126945,Gene Expression
ARMCX4,ENSG00000196440,Gene Expression
ARMCX1,ENSG00000126947,Gene Expression
ARMCX6,ENSG00000198960,Gene Expression
ARMCX3,ENSG00000102401,Gene Expression
ARMCX3-AS1,ENSG00000228275,Gene Expression
ARMCX2,ENSG00000184867,Gene Expression
NXF5,ENSG00000126952,Gene Expression
ZMAT1,ENSG00000166432,Gene Expression
TCEAL2,ENSG00000184905,Gene Expression
TCEAL6,ENSG00000204071,Gene Expression
BEX5,ENSG00000184515,Gene Expression
TCP11X1,ENSG00000268235,Gene Expression
NXF2,ENSG00000269405,Gene Expression
AC235565.2,ENSG00000284800,Gene Expression
NXF2B,ENSG00000269437,Gene Expression
TCP11X2,ENSG00000215029,Gene Expression
TMSB15A,ENSG00000158164,Gene Expression
ARMCX5,ENSG00000125962,Gene Expression
AL035427.1,ENSG00000270050,Gene Expression
GPRASP1,ENSG00000198932,Gene Expression
GPRASP2,ENSG00000158301,Gene Expression
BHLHB9,ENSG00000198908,Gene Expression
LINC00630,ENSG00000223546,Gene Expression
Z68871.1,ENSG00000239407,Gene Expression
RAB40AL,ENSG00000102128,Gene Expression
Z95624.1,ENSG00000234050,Gene Expression
BEX1,ENSG00000133169,Gene Expression
NXF3,ENSG00000147206,Gene Expression
BEX4,ENSG00000102409,Gene Expression
TCEAL8,ENSG00000180964,Gene Expression
TCEAL5,ENSG00000204065,Gene Expression
BEX2,ENSG00000133134,Gene Expression
TCEAL7,ENSG00000182916,Gene Expression
TCEAL9,ENSG00000185222,Gene Expression
BEX3,ENSG00000166681,Gene Expression
AL606763.1,ENSG00000281091,Gene Expression
Z69733.1,ENSG00000234405,Gene Expression
RAB40A,ENSG00000172476,Gene Expression
TCEAL4,ENSG00000133142,Gene Expression
TCEAL3,ENSG00000196507,Gene Expression
TCEAL3-AS1,ENSG00000224031,Gene Expression
TCEAL1,ENSG00000172465,Gene Expression
MORF4L2,ENSG00000123562,Gene Expression
MORF4L2-AS1,ENSG00000231154,Gene Expression
GLRA4,ENSG00000188828,Gene Expression
TMEM31,ENSG00000179363,Gene Expression
PLP1,ENSG00000123560,Gene Expression
RAB9B,ENSG00000123570,Gene Expression
TMSB15B-AS1,ENSG00000231728,Gene Expression
TMSB15B,ENSG00000158427,Gene Expression
H2BFWT,ENSG00000123569,Gene Expression
H2BFM,ENSG00000101812,Gene Expression
TMSB15B-1,ENSG00000269226,Gene Expression
SLC25A53,ENSG00000269743,Gene Expression
ZCCHC18,ENSG00000166707,Gene Expression
FAM199X,ENSG00000123575,Gene Expression
ESX1,ENSG00000123576,Gene Expression
IL1RAPL2,ENSG00000189108,Gene Expression
TEX13A,ENSG00000268629,Gene Expression
NRK,ENSG00000123572,Gene Expression
SERPINA7,ENSG00000123561,Gene Expression
MUM1L1,ENSG00000157502,Gene Expression
CXorf57,ENSG00000147231,Gene Expression
RNF128,ENSG00000133135,Gene Expression
TBC1D8B,ENSG00000133138,Gene Expression
MORC4,ENSG00000133131,Gene Expression
RIPPLY1,ENSG00000147223,Gene Expression
CLDN2,ENSG00000165376,Gene Expression
RBM41,ENSG00000089682,Gene Expression
NUP62CL,ENSG00000198088,Gene Expression
PIH1D3,ENSG00000080572,Gene Expression
FRMPD3-AS1,ENSG00000227610,Gene Expression
FRMPD3,ENSG00000147234,Gene Expression
PRPS1,ENSG00000147224,Gene Expression
TSC22D3,ENSG00000157514,Gene Expression
NCBP2L,ENSG00000170935,Gene Expression
MID2,ENSG00000080561,Gene Expression
AL034399.2,ENSG00000236064,Gene Expression
TEX13B,ENSG00000170925,Gene Expression
VSIG1,ENSG00000101842,Gene Expression
PSMD10,ENSG00000101843,Gene Expression
ATG4A,ENSG00000101844,Gene Expression
COL4A6,ENSG00000197565,Gene Expression
COL4A5,ENSG00000188153,Gene Expression
AL035425.2,ENSG00000260548,Gene Expression
IRS4,ENSG00000133124,Gene Expression
AL035425.1,ENSG00000237863,Gene Expression
GUCY2F,ENSG00000101890,Gene Expression
NXT2,ENSG00000101888,Gene Expression
KCNE5,ENSG00000176076,Gene Expression
ACSL4,ENSG00000068366,Gene Expression
TMEM164,ENSG00000157600,Gene Expression
AMMECR1,ENSG00000101935,Gene Expression
RTL9,ENSG00000243978,Gene Expression
CHRDL1,ENSG00000101938,Gene Expression
PAK3,ENSG00000077264,Gene Expression
CAPN6,ENSG00000077274,Gene Expression
DCX,ENSG00000077279,Gene Expression
SERTM2,ENSG00000260802,Gene Expression
ALG13,ENSG00000101901,Gene Expression
ALG13-AS1,ENSG00000229487,Gene Expression
TRPC5,ENSG00000072315,Gene Expression
TRPC5OS,ENSG00000204025,Gene Expression
RTL4,ENSG00000187823,Gene Expression
LHFPL1,ENSG00000182508,Gene Expression
AMOT,ENSG00000126016,Gene Expression
XACT,ENSG00000241743,Gene Expression
HTR2C,ENSG00000147246,Gene Expression
IL13RA2,ENSG00000123496,Gene Expression
LRCH2,ENSG00000130224,Gene Expression
RBMXL3,ENSG00000175718,Gene Expression
LUZP4,ENSG00000102021,Gene Expression
PLS3-AS1,ENSG00000271826,Gene Expression
PLS3,ENSG00000102024,Gene Expression
DANT1,ENSG00000229335,Gene Expression
DANT2,ENSG00000235244,Gene Expression
AGTR2,ENSG00000180772,Gene Expression
SLC6A14,ENSG00000268104,Gene Expression
CT83,ENSG00000204019,Gene Expression
BX119904.2,ENSG00000230159,Gene Expression
KLHL13,ENSG00000003096,Gene Expression
WDR44,ENSG00000131725,Gene Expression
DOCK11,ENSG00000147251,Gene Expression
IL13RA1,ENSG00000131724,Gene Expression
ZCCHC12,ENSG00000174460,Gene Expression
LINC01285,ENSG00000203650,Gene Expression
LONRF3,ENSG00000175556,Gene Expression
AL772284.2,ENSG00000277535,Gene Expression
KIAA1210,ENSG00000250423,Gene Expression
PGRMC1,ENSG00000101856,Gene Expression
AC004835.1,ENSG00000230392,Gene Expression
AC004973.1,ENSG00000226661,Gene Expression
SLC25A43,ENSG00000077713,Gene Expression
SLC25A5,ENSG00000005022,Gene Expression
CXorf56,ENSG00000018610,Gene Expression
UBE2A,ENSG00000077721,Gene Expression
NKRF,ENSG00000186416,Gene Expression
SEPT6,ENSG00000125354,Gene Expression
SOWAHD,ENSG00000187808,Gene Expression
RPL39,ENSG00000198918,Gene Expression
UPF3B,ENSG00000125351,Gene Expression
RNF113A,ENSG00000125352,Gene Expression
NDUFA1,ENSG00000125356,Gene Expression
AKAP14,ENSG00000186471,Gene Expression
NKAP,ENSG00000101882,Gene Expression
RHOXF1-AS1,ENSG00000258545,Gene Expression
RHOXF2B,ENSG00000203989,Gene Expression
RHOXF1,ENSG00000101883,Gene Expression
LINC01402,ENSG00000228139,Gene Expression
RHOXF2,ENSG00000131721,Gene Expression
ZBTB33,ENSG00000177485,Gene Expression
TMEM255A,ENSG00000125355,Gene Expression
ATP1B4,ENSG00000101892,Gene Expression
LAMP2,ENSG00000005893,Gene Expression
CUL4B,ENSG00000158290,Gene Expression
MCTS1,ENSG00000232119,Gene Expression
C1GALT1C1,ENSG00000171155,Gene Expression
CT47B1,ENSG00000236446,Gene Expression
AC008162.2,ENSG00000278646,Gene Expression
CT47A12,ENSG00000226685,Gene Expression
CT47A11,ENSG00000226929,Gene Expression
CT47A10,ENSG00000224089,Gene Expression
CT47A9,ENSG00000226600,Gene Expression
CT47A8,ENSG00000230347,Gene Expression
CT47A7,ENSG00000228517,Gene Expression
CT47A6,ENSG00000226023,Gene Expression
CT47A5,ENSG00000237957,Gene Expression
CT47A4,ENSG00000230594,Gene Expression
CT47A3,ENSG00000236126,Gene Expression
CT47A2,ENSG00000242362,Gene Expression
CT47A1,ENSG00000236371,Gene Expression
GLUD2,ENSG00000182890,Gene Expression
AL359851.1,ENSG00000260585,Gene Expression
GRIA3,ENSG00000125675,Gene Expression
THOC2,ENSG00000125676,Gene Expression
XIAP,ENSG00000101966,Gene Expression
XIAP-AS1,ENSG00000237331,Gene Expression
AL121601.1,ENSG00000232412,Gene Expression
STAG2,ENSG00000101972,Gene Expression
SH2D1A,ENSG00000183918,Gene Expression
TEX13D,ENSG00000282419,Gene Expression
TENM1,ENSG00000009694,Gene Expression
TEX13C,ENSG00000282815,Gene Expression
AL445072.1,ENSG00000237208,Gene Expression
DCAF12L2,ENSG00000198354,Gene Expression
DCAF12L1,ENSG00000198889,Gene Expression
PRR32,ENSG00000183631,Gene Expression
AL591643.1,ENSG00000260683,Gene Expression
ACTRT1,ENSG00000123165,Gene Expression
AL442647.1,ENSG00000225689,Gene Expression
SMARCA1,ENSG00000102038,Gene Expression
OCRL,ENSG00000122126,Gene Expression
APLN,ENSG00000171388,Gene Expression
XPNPEP2,ENSG00000122121,Gene Expression
SASH3,ENSG00000122122,Gene Expression
ZDHHC9,ENSG00000188706,Gene Expression
AL034405.1,ENSG00000235189,Gene Expression
UTP14A,ENSG00000156697,Gene Expression
BCORL1,ENSG00000085185,Gene Expression
ELF4,ENSG00000102034,Gene Expression
AIFM1,ENSG00000156709,Gene Expression
RAB33A,ENSG00000134594,Gene Expression
ZNF280C,ENSG00000056277,Gene Expression
SLC25A14,ENSG00000102078,Gene Expression
GPR119,ENSG00000147262,Gene Expression
RBMX2,ENSG00000134597,Gene Expression
ENOX2,ENSG00000165675,Gene Expression
LINC01201,ENSG00000228659,Gene Expression
ARHGAP36,ENSG00000147256,Gene Expression
IGSF1,ENSG00000147255,Gene Expression
OR13H1,ENSG00000171054,Gene Expression
FIRRE,ENSG00000213468,Gene Expression
STK26,ENSG00000134602,Gene Expression
FRMD7,ENSG00000165694,Gene Expression
RAP2C,ENSG00000123728,Gene Expression
RAP2C-AS1,ENSG00000232160,Gene Expression
MBNL3,ENSG00000076770,Gene Expression
HS6ST2,ENSG00000171004,Gene Expression
HS6ST2-AS1,ENSG00000235849,Gene Expression
USP26,ENSG00000134588,Gene Expression
TFDP3,ENSG00000183434,Gene Expression
GPC4,ENSG00000076716,Gene Expression
GPC3,ENSG00000147257,Gene Expression
CCDC160,ENSG00000203952,Gene Expression
PHF6,ENSG00000156531,Gene Expression
HPRT1,ENSG00000165704,Gene Expression
MIR503HG,ENSG00000223749,Gene Expression
LINC00629,ENSG00000227060,Gene Expression
PLAC1,ENSG00000170965,Gene Expression
AL672032.1,ENSG00000235813,Gene Expression
FAM122B,ENSG00000156504,Gene Expression
FAM122C,ENSG00000156500,Gene Expression
MOSPD1,ENSG00000101928,Gene Expression
LINC02243,ENSG00000236091,Gene Expression
SMIM10,ENSG00000184785,Gene Expression
RTL8B,ENSG00000212747,Gene Expression
RTL8C,ENSG00000134590,Gene Expression
RTL8A,ENSG00000203950,Gene Expression
SMIM10L2B-AS1,ENSG00000228372,Gene Expression
SMIM10L2B,ENSG00000196972,Gene Expression
ETDB,ENSG00000224107,Gene Expression
AC234771.1,ENSG00000223809,Gene Expression
CT55,ENSG00000169551,Gene Expression
ZNF75D,ENSG00000186376,Gene Expression
ETDA,ENSG00000238210,Gene Expression
ETDC,ENSG00000283644,Gene Expression
AL590282.2,ENSG00000284994,Gene Expression
ZNF449,ENSG00000173275,Gene Expression
SMIM10L2A,ENSG00000178947,Gene Expression
INTS6L-AS1,ENSG00000225235,Gene Expression
INTS6L,ENSG00000165359,Gene Expression
CT45A1,ENSG00000268940,Gene Expression
CT45A3,ENSG00000269096,Gene Expression
CT45A5,ENSG00000228836,Gene Expression
CT45A6,ENSG00000278289,Gene Expression
CT45A2,ENSG00000271449,Gene Expression
CT45A7,ENSG00000273696,Gene Expression
CT45A8,ENSG00000278085,Gene Expression
CT45A9,ENSG00000270946,Gene Expression
CT45A10,ENSG00000269586,Gene Expression
SAGE1,ENSG00000181433,Gene Expression
MMGT1,ENSG00000169446,Gene Expression
SLC9A6,ENSG00000198689,Gene Expression
FHL1,ENSG00000022267,Gene Expression
MAP7D3,ENSG00000129680,Gene Expression
ADGRG4,ENSG00000156920,Gene Expression
BRS3,ENSG00000102239,Gene Expression
HTATSF1,ENSG00000102241,Gene Expression
VGLL1,ENSG00000102243,Gene Expression
CD40LG,ENSG00000102245,Gene Expression
ARHGEF6,ENSG00000129675,Gene Expression
AL683813.1,ENSG00000232611,Gene Expression
RBMX,ENSG00000147274,Gene Expression
GPR101,ENSG00000165370,Gene Expression
AL035443.1,ENSG00000224765,Gene Expression
ZIC3,ENSG00000156925,Gene Expression
Z96074.1,ENSG00000283692,Gene Expression
FGF13,ENSG00000129682,Gene Expression
AL031386.1,ENSG00000232183,Gene Expression
FGF13-AS1,ENSG00000226031,Gene Expression
F9,ENSG00000101981,Gene Expression
MCF2,ENSG00000101977,Gene Expression
ATP11C,ENSG00000101974,Gene Expression
CXorf66,ENSG00000203933,Gene Expression
AL589987.2,ENSG00000233145,Gene Expression
FO393408.1,ENSG00000231110,Gene Expression
SOX3,ENSG00000134595,Gene Expression
AL844175.1,ENSG00000230668,Gene Expression
LINC00632,ENSG00000203930,Gene Expression
CDR1,ENSG00000184258,Gene Expression
AL078639.1,ENSG00000281508,Gene Expression
AL451048.1,ENSG00000229269,Gene Expression
SPANXB1,ENSG00000227234,Gene Expression
AC234778.2,ENSG00000261212,Gene Expression
LDOC1,ENSG00000182195,Gene Expression
SPANXC,ENSG00000198573,Gene Expression
SPANXA2-OT1,ENSG00000277215,Gene Expression
SPANXA1,ENSG00000198021,Gene Expression
SPANXA2,ENSG00000203926,Gene Expression
SPANXD,ENSG00000196406,Gene Expression
MAGEC3,ENSG00000165509,Gene Expression
MAGEC1,ENSG00000155495,Gene Expression
MAGEC2,ENSG00000046774,Gene Expression
SPANXN4,ENSG00000189326,Gene Expression
AC239727.1,ENSG00000227303,Gene Expression
SPANXN3,ENSG00000189252,Gene Expression
SLITRK4,ENSG00000179542,Gene Expression
SPANXN2,ENSG00000268988,Gene Expression
AL500522.1,ENSG00000225970,Gene Expression
AL713923.1,ENSG00000234712,Gene Expression
SPANXN1,ENSG00000203923,Gene Expression
SLITRK2,ENSG00000185985,Gene Expression
CXorf51B,ENSG00000235699,Gene Expression
CXorf51A,ENSG00000224440,Gene Expression
AL589669.1,ENSG00000284377,Gene Expression
L29074.1,ENSG00000227083,Gene Expression
FMR1,ENSG00000102081,Gene Expression
FMR1NB,ENSG00000176988,Gene Expression
AC002368.1,ENSG00000237741,Gene Expression
AFF2,ENSG00000155966,Gene Expression
IDS,ENSG00000010404,Gene Expression
AC244197.3,ENSG00000241489,Gene Expression
AC244197.2,ENSG00000238039,Gene Expression
LINC00893,ENSG00000241769,Gene Expression
CXorf40A,ENSG00000197620,Gene Expression
HSFX3,ENSG00000283697,Gene Expression
MAGEA9B,ENSG00000267978,Gene Expression
HSFX2,ENSG00000268738,Gene Expression
TMEM185A,ENSG00000269556,Gene Expression
MAGEA11,ENSG00000185247,Gene Expression
HSFX1,ENSG00000171116,Gene Expression
MAGEA9,ENSG00000123584,Gene Expression
LINC00850,ENSG00000280752,Gene Expression
MAGEA8-AS1,ENSG00000230899,Gene Expression
MAGEA8,ENSG00000156009,Gene Expression
CXorf40B,ENSG00000197021,Gene Expression
HSFX4,ENSG00000283463,Gene Expression
LINC00894,ENSG00000235703,Gene Expression
MAMLD1,ENSG00000013619,Gene Expression
MTM1,ENSG00000171100,Gene Expression
MTMR1,ENSG00000063601,Gene Expression
CD99L2,ENSG00000102181,Gene Expression
AF274573.1,ENSG00000230153,Gene Expression
HMGB3,ENSG00000029993,Gene Expression
GPR50-AS1,ENSG00000234696,Gene Expression
GPR50,ENSG00000102195,Gene Expression
KC877982.1,ENSG00000269993,Gene Expression
VMA21,ENSG00000160131,Gene Expression
BX546450.2,ENSG00000270052,Gene Expression
BX546450.1,ENSG00000214915,Gene Expression
PASD1,ENSG00000166049,Gene Expression
PRRG3,ENSG00000130032,Gene Expression
FATE1,ENSG00000147378,Gene Expression
CNGA2,ENSG00000183862,Gene Expression
MAGEA4-AS1,ENSG00000229967,Gene Expression
MAGEA4,ENSG00000147381,Gene Expression
GABRE,ENSG00000102287,Gene Expression
MAGEA10,ENSG00000124260,Gene Expression
AC116666.1,ENSG00000231937,Gene Expression
GABRA3,ENSG00000011677,Gene Expression
GABRQ,ENSG00000268089,Gene Expression
MAGEA3,ENSG00000221867,Gene Expression
CSAG2,ENSG00000268902,Gene Expression
MAGEA2B,ENSG00000183305,Gene Expression
CSAG1,ENSG00000198930,Gene Expression
MAGEA12,ENSG00000213401,Gene Expression
AC244102.1,ENSG00000231447,Gene Expression
MAGEA2,ENSG00000268606,Gene Expression
CSAG3,ENSG00000268916,Gene Expression
MAGEA6,ENSG00000197172,Gene Expression
CETN2,ENSG00000147400,Gene Expression
NSDHL,ENSG00000147383,Gene Expression
ZNF185,ENSG00000147394,Gene Expression
PNMA5,ENSG00000198883,Gene Expression
PNMA3,ENSG00000183837,Gene Expression
PNMA6A,ENSG00000235961,Gene Expression
MAGEA1,ENSG00000198681,Gene Expression
AC236972.3,ENSG00000273877,Gene Expression
PNMA6F,ENSG00000225110,Gene Expression
ZNF275,ENSG00000063587,Gene Expression
PNMA6E,ENSG00000214897,Gene Expression
ZFP92,ENSG00000189420,Gene Expression
TREX2,ENSG00000183479,Gene Expression
HAUS7,ENSG00000213397,Gene Expression
BGN,ENSG00000182492,Gene Expression
ATP2B3,ENSG00000067842,Gene Expression
CCNQ,ENSG00000262919,Gene Expression
DUSP9,ENSG00000130829,Gene Expression
PNCK,ENSG00000130822,Gene Expression
SLC6A8,ENSG00000130821,Gene Expression
BCAP31,ENSG00000185825,Gene Expression
ABCD1,ENSG00000101986,Gene Expression
U52111.1,ENSG00000232725,Gene Expression
PLXNB3,ENSG00000198753,Gene Expression
SRPK3,ENSG00000184343,Gene Expression
IDH3G,ENSG00000067829,Gene Expression
SSR4,ENSG00000180879,Gene Expression
PDZD4,ENSG00000067840,Gene Expression
L1CAM,ENSG00000198910,Gene Expression
U52112.2,ENSG00000284987,Gene Expression
AVPR2,ENSG00000126895,Gene Expression
ARHGAP4,ENSG00000089820,Gene Expression
NAA10,ENSG00000102030,Gene Expression
RENBP,ENSG00000102032,Gene Expression
HCFC1,ENSG00000172534,Gene Expression
HCFC1-AS1,ENSG00000235802,Gene Expression
TMEM187,ENSG00000177854,Gene Expression
IRAK1,ENSG00000184216,Gene Expression
MECP2,ENSG00000169057,Gene Expression
OPN1LW,ENSG00000102076,Gene Expression
OPN1MW,ENSG00000268221,Gene Expression
OPN1MW2,ENSG00000166160,Gene Expression
OPN1MW3,ENSG00000269433,Gene Expression
TEX28,ENSG00000278057,Gene Expression
TKTL1,ENSG00000007350,Gene Expression
AC245140.1,ENSG00000231830,Gene Expression
FLNA,ENSG00000196924,Gene Expression
AC245140.3,ENSG00000285018,Gene Expression
EMD,ENSG00000102119,Gene Expression
RPL10,ENSG00000147403,Gene Expression
AC245140.2,ENSG00000280195,Gene Expression
DNASE1L1,ENSG00000013563,Gene Expression
TAZ,ENSG00000102125,Gene Expression
AC244090.1,ENSG00000197180,Gene Expression
ATP6AP1,ENSG00000071553,Gene Expression
GDI1,ENSG00000203879,Gene Expression
FAM50A,ENSG00000071859,Gene Expression
PLXNA3,ENSG00000130827,Gene Expression
LAGE3,ENSG00000196976,Gene Expression
UBL4A,ENSG00000102178,Gene Expression
SLC10A3,ENSG00000126903,Gene Expression
FAM3A,ENSG00000071889,Gene Expression
G6PD,ENSG00000160211,Gene Expression
IKBKG,ENSG00000269335,Gene Expression
FAM223A,ENSG00000279245,Gene Expression
CTAG1A,ENSG00000268651,Gene Expression
CTAG1B,ENSG00000184033,Gene Expression
FAM223B,ENSG00000272681,Gene Expression
CTAG2,ENSG00000126890,Gene Expression
GAB3,ENSG00000160219,Gene Expression
DKC1,ENSG00000130826,Gene Expression
MPP1,ENSG00000130830,Gene Expression
SMIM9,ENSG00000203870,Gene Expression
F8,ENSG00000185010,Gene Expression
H2AFB1,ENSG00000274183,Gene Expression
F8A1,ENSG00000277203,Gene Expression
FUNDC2,ENSG00000165775,Gene Expression
CMC4,ENSG00000182712,Gene Expression
MTCP1,ENSG00000214827,Gene Expression
BRCC3,ENSG00000185515,Gene Expression
VBP1,ENSG00000155959,Gene Expression
RAB39B,ENSG00000155961,Gene Expression
CLIC2,ENSG00000155962,Gene Expression
AC234781.1,ENSG00000224216,Gene Expression
H2AFB2,ENSG00000277858,Gene Expression
F8A2,ENSG00000274791,Gene Expression
F8A3,ENSG00000277150,Gene Expression
H2AFB3,ENSG00000277745,Gene Expression
TMLHE-AS1,ENSG00000224533,Gene Expression
BX571846.1,ENSG00000225393,Gene Expression
TMLHE,ENSG00000185973,Gene Expression
SPRY3,ENSG00000168939,Gene Expression
VAMP7,ENSG00000124333,Gene Expression
IL9R,ENSG00000124334,Gene Expression
WASIR1,ENSG00000185203,Gene Expression
AC144568.2,ENSG00000253896,Gene Expression
OR4F21,ENSG00000176269,Gene Expression
ZNF596,ENSG00000172748,Gene Expression
AC004908.1,ENSG00000272240,Gene Expression
AC004908.3,ENSG00000273402,Gene Expression
AC136777.1,ENSG00000249868,Gene Expression
FAM87A,ENSG00000182366,Gene Expression
FBXO25,ENSG00000147364,Gene Expression
AC083964.1,ENSG00000272293,Gene Expression
TDRP,ENSG00000180190,Gene Expression
ERICH1,ENSG00000104714,Gene Expression
DLGAP2,ENSG00000198010,Gene Expression
AC100797.4,ENSG00000282375,Gene Expression
AC026950.2,ENSG00000282759,Gene Expression
AC129915.3,ENSG00000282692,Gene Expression
AC110288.1,ENSG00000254160,Gene Expression
AF067845.2,ENSG00000275427,Gene Expression
AF067845.1,ENSG00000260721,Gene Expression
AF067845.5,ENSG00000282160,Gene Expression
AF067845.4,ENSG00000281961,Gene Expression
DLGAP2-AS1,ENSG00000253267,Gene Expression
CLN8,ENSG00000182372,Gene Expression
AC100810.3,ENSG00000282021,Gene Expression
AC100810.1,ENSG00000253982,Gene Expression
AC019257.8,ENSG00000283239,Gene Expression
ARHGEF10,ENSG00000104728,Gene Expression
KBTBD11-OT1,ENSG00000253696,Gene Expression
AC019257.1,ENSG00000253764,Gene Expression
KBTBD11,ENSG00000176595,Gene Expression
AC019257.2,ENSG00000270988,Gene Expression
AC245164.1,ENSG00000253805,Gene Expression
MYOM2,ENSG00000036448,Gene Expression
AC245519.1,ENSG00000253444,Gene Expression
AC245519.2,ENSG00000282686,Gene Expression
AC245187.2,ENSG00000282142,Gene Expression
AC245187.1,ENSG00000253855,Gene Expression
AC245123.1,ENSG00000277526,Gene Expression
AC246817.2,ENSG00000254319,Gene Expression
AC246817.1,ENSG00000253853,Gene Expression
CSMD1,ENSG00000183117,Gene Expression
AC004944.1,ENSG00000253510,Gene Expression
AC084768.1,ENSG00000254007,Gene Expression
AC079054.1,ENSG00000253189,Gene Expression
AC009435.1,ENSG00000253880,Gene Expression
AC016065.1,ENSG00000246089,Gene Expression
MCPH1,ENSG00000147316,Gene Expression
ANGPT2,ENSG00000091879,Gene Expression
AF287957.1,ENSG00000271743,Gene Expression
MCPH1-AS1,ENSG00000249898,Gene Expression
AGPAT5,ENSG00000155189,Gene Expression
XKR5,ENSG00000275591,Gene Expression
AF233439.1,ENSG00000245857,Gene Expression
DEFB1,ENSG00000164825,Gene Expression
DEFA6,ENSG00000164822,Gene Expression
AF233439.2,ENSG00000254625,Gene Expression
DEFA4,ENSG00000164821,Gene Expression
DEFA1,ENSG00000206047,Gene Expression
DEFA1B,ENSG00000240247,Gene Expression
DEFA3,ENSG00000239839,Gene Expression
DEFA5,ENSG00000164816,Gene Expression
FAM66B,ENSG00000215374,Gene Expression
USP17L1,ENSG00000230549,Gene Expression
USP17L4,ENSG00000236125,Gene Expression
ZNF705G,ENSG00000215372,Gene Expression
DEFB4B,ENSG00000177257,Gene Expression
DEFB103B,ENSG00000177243,Gene Expression
SPAG11B,ENSG00000164871,Gene Expression
DEFB104B,ENSG00000177023,Gene Expression
DEFB106B,ENSG00000187082,Gene Expression
DEFB105B,ENSG00000186599,Gene Expression
DEFB107B,ENSG00000198129,Gene Expression
PRR23D1,ENSG00000255251,Gene Expression
PRR23D2,ENSG00000255378,Gene Expression
DEFB107A,ENSG00000186572,Gene Expression
DEFB105A,ENSG00000186562,Gene Expression
DEFB106A,ENSG00000186579,Gene Expression
DEFB104A,ENSG00000176782,Gene Expression
