,gene_ids,n_cells
CUZD1,ENSG00000138161,5
FAM24B,ENSG00000213185,52
C10orf88,ENSG00000119965,33
PSTK,ENSG00000179988,49
IKZF5,ENSG00000095574,66
ACADSB,ENSG00000196177,59
BUB3,ENSG00000154473,578
CHST15,ENSG00000182022,67
OAT,ENSG00000065154,124
LHPP,ENSG00000107902,103
FAM53B,ENSG00000189319,69
METTL10,ENSG00000203791,132
FAM175B,ENSG00000165660,74
ZRANB1,ENSG00000019995,34
RP11-298J20.3,ENSG00000226899,9
CTBP2,ENSG00000175029,61
RP11-383C5.4,ENSG00000224023,14
EDRF1,ENSG00000107938,30
UROS,ENSG00000188690,310
BCCIP,ENSG00000107949,182
DHX32,ENSG00000089876,26
FANK1,ENSG00000203780,8
ADAM12,ENSG00000148848,4
PTPRE,ENSG00000132334,237
MKI67,ENSG00000148773,11
MGMT,ENSG00000170430,409
LINC00959,ENSG00000237489,3
GLRX3,ENSG00000108010,342
PPP2R2D,ENSG00000175470,61
BNIP3,ENSG00000176171,97
STK32C,ENSG00000165752,69
LRRC27,ENSG00000148814,25
PWWP2B,ENSG00000171813,48
RP11-432J24.2,ENSG00000231705,5
C10orf91,ENSG00000180066,18
INPP5A,ENSG00000068383,6
UTF1,ENSG00000171794,10
VENTX,ENSG00000151650,8
ADAM8,ENSG00000151651,193
TUBGCP2,ENSG00000130640,146
ZNF511,ENSG00000198546,261
FUOM,ENSG00000148803,187
ECHS1,ENSG00000127884,375
PAOX,ENSG00000148832,53
MTG1,ENSG00000148824,72
SYCE1,ENSG00000171772,16
BET1L,ENSG00000177951,91
SCGB1C1,ENSG00000188076,9
RIC8A,ENSG00000177963,177
SIRT3,ENSG00000142082,35
PSMD13,ENSG00000185627,473
RP11-326C3.2,ENSG00000255026,4
ATHL1,ENSG00000142102,101
IFITM2,ENSG00000185201,1900
IFITM1,ENSG00000185885,1281
RP11-326C3.11,ENSG00000251661,6
IFITM3,ENSG00000142089,599
RP11-326C3.12,ENSG00000255328,11
RP11-326C3.15,ENSG00000270972,11
SIGIRR,ENSG00000185187,606
ANO9,ENSG00000185101,36
PTDSS2,ENSG00000174915,28
RP13-317D12.3,ENSG00000255237,3
RNH1,ENSG00000023191,824
HRAS,ENSG00000174775,100
LRRC56,ENSG00000161328,3
C11orf35,ENSG00000185522,7
RP11-496I9.1,ENSG00000254815,7
RASSF7,ENSG00000099849,228
PHRF1,ENSG00000070047,42
IRF7,ENSG00000185507,439
SCT,ENSG00000070031,3
DEAF1,ENSG00000177030,68
EPS8L2,ENSG00000177106,80
TMEM80,ENSG00000177042,137
TALDO1,ENSG00000177156,987
PDDC1,ENSG00000177225,44
AP006621.5,ENSG00000255284,31
SLC25A22,ENSG00000177542,42
PIDD,ENSG00000177595,36
RPLP2,ENSG00000177600,2677
PNPLA2,ENSG00000177666,160
EFCAB4A,ENSG00000177685,6
CD151,ENSG00000177697,123
POLR2L,ENSG00000177700,966
TSPAN4,ENSG00000214063,91
RP11-1391J7.1,ENSG00000250397,12
CHID1,ENSG00000177830,183
AP2A2,ENSG00000183020,71
TOLLIP,ENSG00000078902,190
TOLLIP-AS1,ENSG00000255153,35
MOB2,ENSG00000182208,236
DUSP8,ENSG00000184545,5
KRTAP5-AS1,ENSG00000233930,3
IFITM10,ENSG00000244242,5
CTSD,ENSG00000117984,651
AC068580.6,ENSG00000235027,3
TNNI2,ENSG00000130598,64
LSP1,ENSG00000130592,1464
MRPL23,ENSG00000214026,777
ASCL2,ENSG00000183734,173
C11orf21,ENSG00000110665,184
TSPAN32,ENSG00000064201,237
CD81,ENSG00000110651,150
TSSC4,ENSG00000184281,283
KCNQ1,ENSG00000053918,63
KCNQ1OT1,ENSG00000269821,81
CDKN1C,ENSG00000129757,106
SLC22A18AS,ENSG00000254827,12
SLC22A18,ENSG00000110628,74
PHLDA2,ENSG00000181649,31
NAP1L4,ENSG00000205531,358
CARS,ENSG00000110619,168
OSBPL5,ENSG00000021762,31
ZNF195,ENSG00000005801,79
NUP98,ENSG00000110713,90
PGAP2,ENSG00000148985,67
RHOG,ENSG00000177105,1052
STIM1,ENSG00000167323,94
RRM1,ENSG00000167325,87
TRIM21,ENSG00000132109,90
TRIM68,ENSG00000167333,22
TRIM34,ENSG00000258659,6
TRIM5,ENSG00000132256,67
TRIM22,ENSG00000132274,534
FAM160A2,ENSG00000051009,75
PRKCDBP,ENSG00000170955,22
SMPD1,ENSG00000166311,122
APBB1,ENSG00000166313,93
TRIM3,ENSG00000110171,15
ARFIP2,ENSG00000132254,145
TIMM10B,ENSG00000132286,161
DNHD1,ENSG00000179532,20
RRP8,ENSG00000132275,101
ILK,ENSG00000166333,303
TAF10,ENSG00000166337,127
TPP1,ENSG00000166340,253
DCHS1,ENSG00000166341,5
MRPL17,ENSG00000158042,168
CTD-2516F10.2,ENSG00000251364,3
PPFIBP2,ENSG00000166387,27
CYB5R2,ENSG00000166394,5
EIF3F,ENSG00000175390,1761
RIC3,ENSG00000166405,261
STK33,ENSG00000130413,5
TRIM66,ENSG00000166436,17
RPL27A,ENSG00000166441,2673
AKIP1,ENSG00000166452,102
TMEM9B,ENSG00000175348,516
TMEM9B-AS1,ENSG00000254860,6
DENND5A,ENSG00000184014,75
TMEM41B,ENSG00000166471,95
IPO7,ENSG00000205339,51
CTD-2371O3.2,ENSG00000254397,8
ZNF143,ENSG00000166478,88
WEE1,ENSG00000166483,18
SWAP70,ENSG00000133789,137
SBF2-AS1,ENSG00000246273,10
SBF2,ENSG00000133812,45
RP11-351I24.1,ENSG00000254554,3
ADM,ENSG00000148926,28
AMPD3,ENSG00000133805,29
RNF141,ENSG00000110315,149
MRVI1-AS1,ENSG00000177112,9
MRVI1,ENSG00000072952,14
CTR9,ENSG00000198730,104
EIF4G2,ENSG00000110321,834
ZBED5,ENSG00000236287,57
ZBED5-AS1,ENSG00000247271,68
CSNK2A3,ENSG00000254598,5
USP47,ENSG00000170242,110
DKK3,ENSG00000050165,12
MICAL2,ENSG00000133816,27
ARNTL,ENSG00000133794,89
BTBD10,ENSG00000148925,64
FAR1,ENSG00000197601,68
RRAS2,ENSG00000133818,104
COPB1,ENSG00000129083,150
PSMA1,ENSG00000129084,672
PDE3B,ENSG00000152270,101
CYP2R1,ENSG00000186104,63
C11orf58,ENSG00000110696,1040
PLEKHA7,ENSG00000166689,8
RPS13,ENSG00000110700,2602
PIK3C2A,ENSG00000011405,43
NUCB2,ENSG00000070081,311
NCR3LG1,ENSG00000188211,7
SERGEF,ENSG00000129158,124
SAAL1,ENSG00000166788,70
HPS5,ENSG00000110756,43
GTF2H1,ENSG00000110768,126
LDHA,ENSG00000134333,1325
TSG101,ENSG00000074319,287
UEVLD,ENSG00000151116,31
SPTY2D1,ENSG00000179119,56
TMEM86A,ENSG00000151117,5
IGSF22,ENSG00000179057,12
ZDHHC13,ENSG00000177054,47
HTATIP2,ENSG00000109854,336
PRMT3,ENSG00000185238,34
FANCF,ENSG00000183161,77
GAS2,ENSG00000148935,3
SVIP,ENSG00000198168,357
CCDC34,ENSG00000109881,42
LIN7C,ENSG00000148943,62
BDNF-AS,ENSG00000245573,4
KIF18A,ENSG00000121621,3
METTL15,ENSG00000169519,26
ARL14EP,ENSG00000152219,275
DNAJC24,ENSG00000170946,32
IMMP1L,ENSG00000148950,73
ELP4,ENSG00000109911,44
RCN1,ENSG00000049449,66
EIF3M,ENSG00000149100,939
CCDC73,ENSG00000186714,5
PRRG4,ENSG00000135378,11
QSER1,ENSG00000060749,12
TCP11L1,ENSG00000176148,15
CSTF3,ENSG00000176102,96
HIPK3,ENSG00000110422,90
CD59,ENSG00000085063,171
FBXO3,ENSG00000110429,119
LMO2,ENSG00000135363,69
CAPRIN1,ENSG00000135387,163
NAT10,ENSG00000135372,58
ABTB2,ENSG00000166016,3
CAT,ENSG00000121691,378
APIP,ENSG00000149089,215
PDHX,ENSG00000110435,85
CD44,ENSG00000026508,1243
TRIM44,ENSG00000166326,98
LDLRAD3,ENSG00000179241,12
COMMD9,ENSG00000110442,326
PRR5L,ENSG00000135362,32
TRAF6,ENSG00000175104,61
C11orf74,ENSG00000166352,25
API5,ENSG00000166181,150
TTC17,ENSG00000052841,170
HSD17B12,ENSG00000149084,112
ALKBH3,ENSG00000166199,115
ACCS,ENSG00000110455,15
EXT2,ENSG00000151348,66
CD82,ENSG00000085117,188
TSPAN18,ENSG00000157570,23
TP53I11,ENSG00000175274,27
PRDM11,ENSG00000019485,3
RP11-430H10.1,ENSG00000254427,9
CTD-2210P24.4,ENSG00000205106,4
SLC35C1,ENSG00000181830,47
CRY2,ENSG00000121671,33
PEX16,ENSG00000121680,325
GYLTL1B,ENSG00000165905,25
PHF21A,ENSG00000135365,86
DGKZ,ENSG00000149091,269
MDK,ENSG00000110492,6
AMBRA1,ENSG00000110497,24
HARBI1,ENSG00000180423,9
ATG13,ENSG00000175224,102
ARHGAP1,ENSG00000175220,174
ZNF408,ENSG00000175213,18
CKAP5,ENSG00000175216,28
C11orf49,ENSG00000149179,45
ARFGAP2,ENSG00000149182,277
DDB2,ENSG00000134574,111
ACP2,ENSG00000134575,43
NR1H3,ENSG00000025434,21
MADD,ENSG00000110514,73
SPI1,ENSG00000066336,571
RP11-750H9.5,ENSG00000255197,7
SLC39A13,ENSG00000165915,37
PSMC3,ENSG00000165916,470
CELF1,ENSG00000149187,257
NDUFS3,ENSG00000213619,449
PTPMT1,ENSG00000110536,342
KBTBD4,ENSG00000123444,89
C1QTNF4,ENSG00000172247,4
MTCH2,ENSG00000109919,223
AGBL2,ENSG00000165923,5
FNBP4,ENSG00000109920,203
NUP160,ENSG00000030066,163
PTPRJ,ENSG00000149177,25
TNKS1BP1,ENSG00000149115,4
SSRP1,ENSG00000149136,224
SLC43A3,ENSG00000134802,81
SLC43A1,ENSG00000149150,19
TIMM10,ENSG00000134809,198
UBE2L6,ENSG00000156587,926
SERPING1,ENSG00000149131,31
YPEL4,ENSG00000166793,5
CLP1,ENSG00000172409,42
ZDHHC5,ENSG00000156599,47
MED19,ENSG00000156603,127
TMX2,ENSG00000213593,269
C11orf31,ENSG00000211450,1200
CTNND1,ENSG00000198561,21
LPXN,ENSG00000110031,226
ZFP91,ENSG00000186660,25
RP11-142C4.6,ENSG00000255240,8
FAM111B,ENSG00000189057,8
AP001258.4,ENSG00000245571,39
FAM111A,ENSG00000166801,94
DTX4,ENSG00000110042,3
MPEG1,ENSG00000197629,292
OSBP,ENSG00000110048,31
AP000442.1,ENSG00000255139,8
PATL1,ENSG00000166889,53
STX3,ENSG00000166900,46
MRPL16,ENSG00000166902,309
MS4A6A,ENSG00000110077,427
MS4A4A,ENSG00000110079,90
MS4A7,ENSG00000166927,315
MS4A14,ENSG00000166928,22
MS4A1,ENSG00000156738,423
CCDC86,ENSG00000110104,37
PTGDR2,ENSG00000183134,10
PRPF19,ENSG00000110107,179
TMEM109,ENSG00000110108,334
SLC15A3,ENSG00000110446,69
CD6,ENSG00000013725,295
CD5,ENSG00000110448,197
VPS37C,ENSG00000167987,28
DDB1,ENSG00000167986,165
DAK,ENSG00000149476,60
CYB561A3,ENSG00000162144,250
TMEM138,ENSG00000149483,177
TMEM216,ENSG00000187049,119
CPSF7,ENSG00000149532,106
SDHAF2,ENSG00000167985,342
PPP1R32,ENSG00000162148,4
TMEM258,ENSG00000134825,884
FEN1,ENSG00000168496,62
FADS2,ENSG00000134824,41
FADS1,ENSG00000149485,39
FADS3,ENSG00000221968,32
BEST1,ENSG00000167995,370
FTH1,ENSG00000167996,2668
AP003733.1,ENSG00000269089,114
INCENP,ENSG00000149503,8
ASRGL1,ENSG00000162174,46
AHNAK,ENSG00000124942,740
EEF1G,ENSG00000254772,658
TUT1,ENSG00000149016,51
MTA2,ENSG00000149480,38
EML3,ENSG00000149499,142
ROM1,ENSG00000149489,7
B3GAT3,ENSG00000149541,230
GANAB,ENSG00000089597,139
INTS5,ENSG00000185085,77
C11orf48,ENSG00000162194,376
METTL12,ENSG00000214756,128
C11orf83,ENSG00000204922,216
UBXN1,ENSG00000162191,1367
BSCL2,ENSG00000168000,22
GNG3,ENSG00000162188,9
HNRNPUL2,ENSG00000214753,124
TTC9C,ENSG00000162222,96
ZBTB3,ENSG00000185670,10
POLR2G,ENSG00000168002,658
TAF6L,ENSG00000162227,46
TMEM223,ENSG00000168569,176
RP11-727F15.12,ENSG00000269176,21
TMEM179B,ENSG00000185475,436
NXF1,ENSG00000162231,187
STX5,ENSG00000162236,324
RP11-727F15.9,ENSG00000256690,85
WDR74,ENSG00000133316,278
SLC3A2,ENSG00000168003,439
LGALS12,ENSG00000133317,7
RARRES3,ENSG00000133321,1266
HRASLS2,ENSG00000133328,10
PLA2G16,ENSG00000176485,113
ATL3,ENSG00000184743,63
RTN3,ENSG00000133318,342
C11orf95,ENSG00000188070,6
C11orf84,ENSG00000168005,7
MARK2,ENSG00000072518,62
NAA40,ENSG00000110583,22
COX8A,ENSG00000176340,1038
OTUB1,ENSG00000167770,437
MACROD1,ENSG00000133315,27
STIP1,ENSG00000168439,184
FERMT3,ENSG00000149781,489
TRPT1,ENSG00000149743,121
NUDT22,ENSG00000149761,249
DNAJC4,ENSG00000110011,323
VEGFB,ENSG00000173511,30
FKBP2,ENSG00000173486,370
PPP1R14B,ENSG00000173457,57
PLCB3,ENSG00000149782,21
BAD,ENSG00000002330,225
GPR137,ENSG00000173264,60
ESRRA,ENSG00000173153,49
TRMT112,ENSG00000173113,1020
PRDX5,ENSG00000126432,954
AP003774.1,ENSG00000236935,65
CCDC88B,ENSG00000168071,100
RPS6KA4,ENSG00000162302,116
AP003774.6,ENSG00000231680,26
AP003774.4,ENSG00000181908,5
NRXN2,ENSG00000110076,4
RASGRP2,ENSG00000068831,655
PYGM,ENSG00000068976,8
SF1,ENSG00000168066,824
AP001462.6,ENSG00000269038,7
RP11-869B15.1,ENSG00000269290,7
MAP4K2,ENSG00000168067,97
MEN1,ENSG00000133895,48
EHD1,ENSG00000110047,304
ATG2A,ENSG00000110046,136
PPP2R5B,ENSG00000068971,36
BATF2,ENSG00000168062,6
ARL2,ENSG00000213465,308
SNX15,ENSG00000110025,59
SAC3D1,ENSG00000168061,77
NAALADL1,ENSG00000168060,72
CDCA5,ENSG00000146670,9
ZFPL1,ENSG00000162300,123
TMEM262,ENSG00000187066,3
VPS51,ENSG00000149823,352
AP003068.9,ENSG00000254501,3
TM7SF2,ENSG00000149809,42
ZNHIT2,ENSG00000174276,70
FAU,ENSG00000149806,2651
SYVN1,ENSG00000162298,81
MRPL49,ENSG00000149792,184
AP003068.23,ENSG00000254614,7
CAPN1,ENSG00000014216,333
POLA2,ENSG00000014138,27
CDC42EP2,ENSG00000149798,44
DPF2,ENSG00000133884,143
TIGD3,ENSG00000173825,9
SLC25A45,ENSG00000162241,190
FRMD8,ENSG00000126391,104
NEAT1,ENSG00000245532,1721
AP000769.1,ENSG00000173727,6
MALAT1,ENSG00000251562,2699
AP000769.7,ENSG00000270117,7
SCYL1,ENSG00000142186,119
LTBP3,ENSG00000168056,94
SSSCA1-AS1,ENSG00000260233,5
SSSCA1,ENSG00000173465,230
FAM89B,ENSG00000176973,232
EHBP1L1,ENSG00000173442,116
KCNK7,ENSG00000173338,8
MAP3K11,ENSG00000173327,164
PCNXL3,ENSG00000197136,22
SIPA1,ENSG00000213445,260
RELA,ENSG00000173039,165
KAT5,ENSG00000172977,165
RNASEH2C,ENSG00000172922,464
AP5B1,ENSG00000254470,52
CFL1,ENSG00000172757,2460
MUS81,ENSG00000172732,105
EFEMP2,ENSG00000172638,3
CTSW,ENSG00000172543,808
FIBP,ENSG00000172500,464
CCDC85B,ENSG00000175602,956
FOSL1,ENSG00000175592,5
C11orf68,ENSG00000175573,34
DRAP1,ENSG00000175550,1249
SART1,ENSG00000175467,211
EIF1AD,ENSG00000175376,80
BANF1,ENSG00000175334,663
CATSPER1,ENSG00000175294,94
SF3B2,ENSG00000087365,551
PACS1,ENSG00000175115,134
RP11-755F10.1,ENSG00000255320,5
KLC2,ENSG00000174996,39
RAB1B,ENSG00000174903,173
RP11-867G23.4,ENSG00000254452,6
YIF1A,ENSG00000174851,267
CD248,ENSG00000174807,6
RIN1,ENSG00000174791,56
BRMS1,ENSG00000174744,323
B3GNT1,ENSG00000174684,30
RP11-867G23.8,ENSG00000255468,9
SLC29A2,ENSG00000174669,12
MRPL11,ENSG00000174547,425
PELI3,ENSG00000174516,14
CTD-3074O7.5,ENSG00000255517,47
DPP3,ENSG00000254986,93
BBS1,ENSG00000174483,13
ZDHHC24,ENSG00000174165,138
CTD-3074O7.12,ENSG00000269990,8
CTSF,ENSG00000174080,74
CCS,ENSG00000173992,267
RBM14,ENSG00000239306,204
RBM4,ENSG00000173933,277
RBM4B,ENSG00000173914,57
RP11-658F2.8,ENSG00000258297,14
C11orf80,ENSG00000173715,22
RCE1,ENSG00000173653,109
PC,ENSG00000173599,4
RHOD,ENSG00000173156,5
KDM2A,ENSG00000173120,165
ADRBK1,ENSG00000173020,263
ANKRD13D,ENSG00000172932,175
SSH3,ENSG00000172830,11
POLD4,ENSG00000175482,931
CLCF1,ENSG00000175505,25
RAD9A,ENSG00000172613,136
PPP1CA,ENSG00000172531,1392
TBC1D10C,ENSG00000175463,812
CARNS1,ENSG00000172508,8
RPS6KB2,ENSG00000175634,273
AP003419.16,ENSG00000255949,9
PTPRCAP,ENSG00000213402,1729
CORO1B,ENSG00000172725,442
CABP4,ENSG00000175544,5
TMEM134,ENSG00000172663,341
AIP,ENSG00000110711,471
PITPNM1,ENSG00000110697,53
CDK2AP2,ENSG00000167797,435
GSTP1,ENSG00000084207,1238
NDUFV1,ENSG00000167792,368
NUDT8,ENSG00000167799,27
ACY3,ENSG00000132744,18
RP11-119D9.1,ENSG00000251637,10
UNC93B1,ENSG00000110057,227
ALDH3B1,ENSG00000006534,79
NDUFS8,ENSG00000110717,643
TCIRG1,ENSG00000110719,268
RP11-802E16.3,ENSG00000255031,41
CHKA,ENSG00000110721,24
SUV420H1,ENSG00000110066,92
C11orf24,ENSG00000171067,64
LRP5,ENSG00000162337,3
PPP6R3,ENSG00000110075,111
MTL5,ENSG00000132749,27
CPT1A,ENSG00000110090,16
MRPL21,ENSG00000197345,434
IGHMBP2,ENSG00000132740,21
TPCN2,ENSG00000162341,31
CCND1,ENSG00000110092,9
ORAOV1,ENSG00000149716,60
FADD,ENSG00000168040,78
RP11-805J14.5,ENSG00000254721,3
PPFIA1,ENSG00000131626,34
CTTN,ENSG00000085733,7
DHCR7,ENSG00000172893,20
RP11-660L16.2,ENSG00000254682,181
NADSYN1,ENSG00000172890,115
FAM86C1,ENSG00000158483,20
RP11-849H4.2,ENSG00000254469,23
RNF121,ENSG00000137522,54
IL18BP,ENSG00000137496,51
NUMA1,ENSG00000137497,102
LRTOMT,ENSG00000184154,7
LAMTOR1,ENSG00000149357,928
ANAPC15,ENSG00000110200,327
FOLR3,ENSG00000110203,157
FOLR2,ENSG00000165457,19
INPPL1,ENSG00000165458,55
CLPB,ENSG00000162129,19
PDE2A,ENSG00000186642,4
RP11-169D4.2,ENSG00000256633,24
ARAP1,ENSG00000186635,136
STARD10,ENSG00000214530,19
ATG16L2,ENSG00000168010,180
FCHSD2,ENSG00000137478,79
P2RY2,ENSG00000175591,13
P2RY6,ENSG00000171631,4
RELT,ENSG00000054967,134
FAM168A,ENSG00000054965,23
RP11-809N8.4,ENSG00000256448,10
PLEKHB1,ENSG00000021300,97
RAB6A,ENSG00000175582,264
RP11-707G14.1,ENSG00000256034,3
MRPL48,ENSG00000175581,240
COA4,ENSG00000181924,287
PAAF1,ENSG00000175575,71
UCP2,ENSG00000175567,1499
UCP3,ENSG00000175564,9
C2CD3,ENSG00000168014,27
PPME1,ENSG00000214517,38
PGM2L1,ENSG00000165434,47
KCNE3,ENSG00000175538,68
LIPT2,ENSG00000175536,33
AP001372.2,ENSG00000254837,15
POLD3,ENSG00000077514,53
RNF169,ENSG00000166439,58
XRRA1,ENSG00000166435,148
SPCS2,ENSG00000118363,816
NEU3,ENSG00000162139,10
ARRB1,ENSG00000137486,116
RPS3,ENSG00000149273,2684
GDPD5,ENSG00000158555,28
SERPINH1,ENSG00000149257,20
DGAT2,ENSG00000062282,13
UVRAG,ENSG00000198382,112
WNT11,ENSG00000085741,3
PRKRIR,ENSG00000137492,38
RP11-111M22.2,ENSG00000179240,10
RP11-111M22.3,ENSG00000255135,39
C11orf30,ENSG00000158636,57
AP001189.4,ENSG00000236304,15
ACER3,ENSG00000078124,33
PAK1,ENSG00000149269,141
DKFZP434E1119,ENSG00000268635,9
CLNS1A,ENSG00000074201,585
RSF1,ENSG00000048649,336
AAMDC,ENSG00000087884,81
INTS4,ENSG00000149262,68
NDUFC2,ENSG00000151366,690
ALG8,ENSG00000159063,61
KCTD21-AS1,ENSG00000246174,6
KCTD21,ENSG00000188997,15
USP35,ENSG00000118369,10
GAB2,ENSG00000033327,29
RP11-452H21.4,ENSG00000251323,3
NARS2,ENSG00000137513,44
PRCP,ENSG00000137509,202
C11orf82,ENSG00000165490,6
RAB30,ENSG00000137502,30
RAB30-AS1,ENSG00000246067,72
PCF11,ENSG00000165494,143
ANKRD42,ENSG00000137494,30
CCDC90B,ENSG00000137500,274
TMEM126B,ENSG00000171204,312
TMEM126A,ENSG00000171202,219
CREBZF,ENSG00000137504,77
SYTL2,ENSG00000137501,41
PICALM,ENSG00000073921,119
EED,ENSG00000074266,79
C11orf73,ENSG00000149196,348
ME3,ENSG00000151376,8
PRSS23,ENSG00000150687,101
TMEM135,ENSG00000166575,18
RAB38,ENSG00000123892,11
CTSC,ENSG00000109861,723
CHORDC1,ENSG00000110172,124
SLC36A4,ENSG00000180773,85
SMCO4,ENSG00000166002,282
KIAA1731,ENSG00000166004,26
TAF1D,ENSG00000166012,405
C11orf54,ENSG00000182919,41
MED17,ENSG00000042429,126
PANX1,ENSG00000110218,32
MRE11A,ENSG00000020922,54
ANKRD49,ENSG00000168876,54
PIWIL4,ENSG00000134627,5
FUT4,ENSG00000196371,16
CWC15,ENSG00000150316,453
KDM4D,ENSG00000186280,5
ENDOD1,ENSG00000149218,36
RP11-712B9.2,ENSG00000245552,15
SESN3,ENSG00000149212,75
FAM76B,ENSG00000077458,49
CEP57,ENSG00000166037,255
MTMR2,ENSG00000087053,37
MAML2,ENSG00000184384,63
CCDC82,ENSG00000149231,112
JRKL,ENSG00000183340,36
ARHGAP42,ENSG00000165895,3
KIAA1377,ENSG00000110318,13
BIRC3,ENSG00000023445,349
BIRC2,ENSG00000110330,161
TMEM123,ENSG00000152558,1147
RP11-315O6.1,ENSG00000255337,5
DCUN1D5,ENSG00000137692,159
DYNC2H1,ENSG00000187240,5
PDGFD,ENSG00000170962,24
CASP4,ENSG00000196954,851
CASP5,ENSG00000137757,19
CASP1,ENSG00000137752,731
CARD16,ENSG00000204397,773
MSANTD4,ENSG00000170903,22
KBTBD3,ENSG00000182359,43
AASDHPPT,ENSG00000149313,153
RP11-819C21.1,ENSG00000261098,18
CWF19L2,ENSG00000152404,127
ALKBH8,ENSG00000137760,21
SLC35F2,ENSG00000110660,22
CUL5,ENSG00000166266,82
ACAT1,ENSG00000075239,177
NPAT,ENSG00000149308,95
ATM,ENSG00000149311,389
KDELC2,ENSG00000178202,24
DDX10,ENSG00000178105,79
RDX,ENSG00000137710,77
FDX1,ENSG00000137714,418
COLCA2,ENSG00000214290,3
POU2AF1,ENSG00000110777,73
LAYN,ENSG00000204381,8
SIK2,ENSG00000170145,30
PPP2R1B,ENSG00000137713,31
ALG9,ENSG00000086848,9
FDXACB1,ENSG00000255561,17
C11orf1,ENSG00000137720,69
DLAT,ENSG00000150768,63
C11orf57,ENSG00000150776,71
TIMM8B,ENSG00000150779,301
SDHD,ENSG00000204370,523
IL18,ENSG00000150782,39
TEX12,ENSG00000150783,4
BCO2,ENSG00000197580,10
PTS,ENSG00000150787,60
NCAM1,ENSG00000149294,14
TTC12,ENSG00000149292,18
ZW10,ENSG00000086827,41
USP28,ENSG00000048028,66
HTR3A,ENSG00000166736,6
ZBTB16,ENSG00000109906,59
C11orf71,ENSG00000180425,40
RBM7,ENSG00000076053,178
REXO2,ENSG00000076043,295
CADM1,ENSG00000182985,7
BUD13,ENSG00000137656,65
ZNF259,ENSG00000109917,177
APOA1,ENSG00000118137,5
SIK3,ENSG00000160584,48
PAFAH1B2,ENSG00000168092,113
SIDT2,ENSG00000149577,71
TAGLN,ENSG00000149591,20
PCSK7,ENSG00000160613,386
RNF214,ENSG00000167257,89
BACE1,ENSG00000186318,9
CEP164,ENSG00000110274,98
FXYD2,ENSG00000137731,32
RP11-728F11.4,ENSG00000254528,5
FXYD6,ENSG00000137726,31
TMPRSS13,ENSG00000137747,3
IL10RA,ENSG00000110324,569
AMICA1,ENSG00000160593,707
MPZL3,ENSG00000160588,25
CD3E,ENSG00000198851,1300
CD3D,ENSG00000167286,1405
CD3G,ENSG00000160654,590
UBE4A,ENSG00000110344,77
ATP5L,ENSG00000167283,1877
KMT2A,ENSG00000118058,203
TMEM25,ENSG00000149582,25
IFT46,ENSG00000118096,18
ARCN1,ENSG00000095139,115
PHLDB1,ENSG00000019144,3
DDX6,ENSG00000110367,341
CXCR5,ENSG00000160683,46
RP11-158I9.5,ENSG00000245869,8
BCL9L,ENSG00000186174,75
UPK2,ENSG00000110375,3
CCDC84,ENSG00000186166,82
RPS25,ENSG00000118181,2644
TRAPPC4,ENSG00000196655,335
SLC37A4,ENSG00000137700,32
HYOU1,ENSG00000149428,68
RP11-110I1.14,ENSG00000271751,3
RP11-110I1.13,ENSG00000272186,7
VPS11,ENSG00000160695,72
HMBS,ENSG00000256269,57
H2AFX,ENSG00000188486,86
DPAGT1,ENSG00000172269,86
C2CD2L,ENSG00000172375,40
HINFP,ENSG00000172273,55
NLRX1,ENSG00000160703,15
CCDC153,ENSG00000248712,4
CBL,ENSG00000110395,111
MCAM,ENSG00000076706,3
RNF26,ENSG00000173456,55
PVRL1,ENSG00000110400,9
OAF,ENSG00000184232,26
TMEM136,ENSG00000181264,4
ARHGEF12,ENSG00000196914,18
GRIK4,ENSG00000149403,4
TBCEL,ENSG00000154114,12
SC5D,ENSG00000109929,60
RP11-730K11.1,ENSG00000246790,8
SORL1,ENSG00000137642,328
UBASH3B,ENSG00000154127,41
CRTAM,ENSG00000109943,69
C11orf63,ENSG00000109944,7
HSPA8,ENSG00000109971,1806
AP000783.1,ENSG00000254667,15
GRAMD1B,ENSG00000023171,8
ZNF202,ENSG00000166261,14
VWA5A,ENSG00000110002,22
TBRG1,ENSG00000154144,247
SIAE,ENSG00000110013,18
SPA17,ENSG00000064199,11
NRGN,ENSG00000154146,84
RP11-677M14.2,ENSG00000255045,6
VSIG2,ENSG00000019102,6
ESAM,ENSG00000149564,10
MSANTD2,ENSG00000120458,17
RP11-677M14.7,ENSG00000245498,3
ROBO3,ENSG00000154134,13
CCDC15,ENSG00000149548,6
SLC37A2,ENSG00000134955,9
TMEM218,ENSG00000150433,109
FEZ1,ENSG00000149557,16
EI24,ENSG00000149547,208
STT3A,ENSG00000134910,59
CHEK1,ENSG00000149554,12
HYLS1,ENSG00000198331,50
PUS3,ENSG00000110060,65
CDON,ENSG00000064309,3
RPUSD4,ENSG00000165526,77
FAM118B,ENSG00000197798,59
SRPR,ENSG00000182934,226
FOXRED1,ENSG00000110074,55
TIRAP,ENSG00000150455,14
DCPS,ENSG00000110063,162
ST3GAL4,ENSG00000110080,52
ETS1,ENSG00000134954,276
FLI1,ENSG00000151702,313
SENCR,ENSG00000254703,32
ARHGAP32,ENSG00000134909,9
TMEM45B,ENSG00000151715,9
NFRKB,ENSG00000170322,85
PRDM10,ENSG00000170325,3
APLP2,ENSG00000084234,445
